age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
0,Private,0,Assoc-voc,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,15,1,United-States,0
4,Private,0,1st-4th,0,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,15,0,Mexico,0
6,Private,0,5th-6th,0,Married-civ-spouse,Other-service,Husband,White,Male,0,15,1,Greece,0
5,Self-emp-inc,0,10th,0,Never-married,Transport-moving,Not-in-family,White,Male,0,14,2,United-States,1
5,Private,0,10th,0,Never-married,Prof-specialty,Not-in-family,White,Male,0,14,4,United-States,1
1,Private,0,Some-college,1,Separated,Other-service,Not-in-family,White,Male,0,14,1,United-States,1
6,Self-emp-inc,0,10th,0,Widowed,Exec-managerial,Unmarried,White,Female,0,14,2,United-States,1
6,Private,0,Prof-school,4,Divorced,Exec-managerial,Not-in-family,White,Male,0,14,3,United-States,1
6,Private,0,Bachelors,2,Divorced,Exec-managerial,Not-in-family,White,Male,0,14,2,United-States,1
6,Self-emp-not-inc,0,HS-grad,0,Never-married,Exec-managerial,Not-in-family,Black,Male,0,14,2,United-States,1
7,Federal-gov,0,Doctorate,4,Divorced,Exec-managerial,Not-in-family,White,Female,0,14,3,United-States,1
6,Private,0,HS-grad,0,Never-married,Sales,Not-in-family,White,Male,0,14,2,United-States,1
6,Private,0,Prof-school,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,14,2,United-States,1
5,Self-emp-not-inc,0,Doctorate,4,Never-married,Prof-specialty,Not-in-family,White,Female,0,14,3,United-States,1
6,Private,0,Masters,3,Divorced,Prof-specialty,Not-in-family,White,Female,0,14,1,United-States,1
5,Private,0,Bachelors,2,Divorced,Exec-managerial,Unmarried,White,Male,0,14,2,United-States,1
5,Private,0,Masters,3,Divorced,Exec-managerial,Unmarried,White,Female,0,14,1,United-States,1
6,Private,0,Some-college,1,Divorced,Adm-clerical,Unmarried,White,Female,0,14,1,United-States,1
5,Private,0,Masters,3,Divorced,Prof-specialty,Unmarried,White,Female,0,14,1,United-States,1
6,Private,0,Bachelors,2,Married-spouse-absent,Sales,Unmarried,White,Female,0,14,4,United-States,1
7,Private,0,HS-grad,0,Married-civ-spouse,Sales,Husband,White,Male,0,14,3,United-States,0
7,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,14,1,Vietnam,0
5,Self-emp-not-inc,0,Prof-school,4,Never-married,Prof-specialty,Not-in-family,White,Male,0,14,2,United-States,1
6,Private,0,HS-grad,0,Widowed,Sales,Not-in-family,White,Female,0,14,4,United-States,1
6,State-gov,0,Assoc-voc,2,Divorced,Tech-support,Not-in-family,White,Male,0,14,1,United-States,1
5,Private,0,Some-college,1,Never-married,Exec-managerial,Not-in-family,White,Female,0,14,1,United-States,1
5,Private,0,Masters,3,Never-married,Sales,Not-in-family,White,Male,0,14,2,United-States,1
4,Private,0,Bachelors,2,Never-married,Exec-managerial,Other-relative,White,Male,0,14,2,United-States,1
6,Private,0,Some-college,1,Separated,Craft-repair,Not-in-family,White,Male,0,14,2,United-States,1
5,Local-gov,0,Some-college,1,Never-married,Protective-serv,Not-in-family,White,Male,0,14,1,United-States,1
5,Private,0,Bachelors,2,Never-married,Sales,Not-in-family,White,Female,0,14,2,United-States,1
4,Private,0,Assoc-voc,2,Separated,Craft-repair,Not-in-family,White,Male,0,14,1,United-States,1
5,Private,0,Assoc-acdm,2,Divorced,Craft-repair,Not-in-family,White,Male,0,14,4,United-States,1
6,Self-emp-inc,0,11th,0,Never-married,Exec-managerial,Other-relative,White,Male,0,14,1,United-States,1
5,Private,0,Some-college,1,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,14,0,United-States,1
6,Self-emp-not-inc,0,Bachelors,2,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,14,1,China,1
5,Private,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,1,United-States,1
6,Self-emp-inc,0,Assoc-voc,2,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,14,4,?,1
5,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
6,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,0,Greece,1
5,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Sales,Husband,White,Male,0,14,3,United-States,1
5,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,3,United-States,1
6,Private,0,Bachelors,2,Married-civ-spouse,Sales,Husband,White,Male,0,14,3,United-States,1
6,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
5,Local-gov,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,2,United-States,1
6,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
5,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,14,3,United-States,1
5,Private,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
6,Private,0,Masters,3,Married-civ-spouse,Sales,Husband,White,Male,0,14,3,United-States,1
5,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
4,Private,0,Bachelors,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,2,United-States,1
5,Self-emp-inc,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
6,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,4,United-States,1
4,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,4,Taiwan,1
6,Self-emp-not-inc,0,Some-college,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,14,1,United-States,1
5,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Sales,Husband,White,Male,0,14,2,United-States,1
5,Self-emp-not-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
5,Self-emp-not-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,2,?,1
5,Federal-gov,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,14,3,?,1
6,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
5,Self-emp-inc,0,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,3,United-States,1
5,Private,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,14,4,India,1
6,Self-emp-not-inc,0,Bachelors,2,Married-civ-spouse,Sales,Husband,White,Male,0,14,1,United-States,1
5,Private,0,Some-college,1,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,14,4,United-States,1
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,14,3,United-States,1
4,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Other-service,Wife,White,Female,0,14,1,United-States,1
6,Private,0,Bachelors,2,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,14,0,Philippines,1
6,Self-emp-not-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,4,United-States,1
5,Self-emp-inc,0,Assoc-voc,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,14,1,United-States,1
5,Private,0,Prof-school,4,Married-civ-spouse,Sales,Husband,White,Male,0,14,4,United-States,1
6,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,2,United-States,1
6,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,3,United-States,1
6,Private,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,3,United-States,1
6,Self-emp-not-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,1,United-States,1
6,Self-emp-not-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,0,United-States,1
5,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,14,3,United-States,1
4,Private,0,Bachelors,2,Married-civ-spouse,Sales,Husband,White,Male,0,14,2,United-States,1
5,Private,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,4,United-States,1
6,Private,0,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,14,2,United-States,1
6,Private,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,14,0,United-States,1
6,Private,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
6,Self-emp-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,2,United-States,1
7,Private,0,Bachelors,2,Widowed,Exec-managerial,Not-in-family,White,Male,0,14,1,United-States,1
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,4,United-States,1
7,Self-emp-not-inc,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,14,0,United-States,1
6,Self-emp-inc,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,2,United-States,1
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,1,United-States,1
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,3,United-States,1
7,Private,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,14,1,United-States,1
2,Private,0,Assoc-voc,2,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,13,2,United-States,0
7,State-gov,0,Doctorate,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,13,3,United-States,1
6,Self-emp-inc,0,HS-grad,0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,13,1,United-States,1
4,Private,0,HS-grad,0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,13,3,United-States,0
7,Self-emp-not-inc,0,Bachelors,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,13,0,United-States,1
2,Private,0,Some-college,1,Married-civ-spouse,Adm-clerical,Wife,Black,Female,0,13,0,United-States,0
4,Local-gov,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,1,United-States,0
1,Private,0,HS-grad,0,Married-civ-spouse,Sales,Husband,White,Male,0,13,1,United-States,0
7,Private,0,HS-grad,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,0,United-States,1
7,Self-emp-not-inc,0,Doctorate,4,Married-civ-spouse,Sales,Husband,White,Male,0,13,0,United-States,1
7,Private,0,HS-grad,0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,2,United-States,1
7,Private,0,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,13,3,United-States,1
7,State-gov,0,Masters,3,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,13,1,?,1
6,Private,0,HS-grad,0,Married-civ-spouse,Sales,Husband,Black,Male,0,13,1,United-States,0
5,Self-emp-inc,0,Assoc-acdm,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,13,2,United-States,0
0,Private,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,2,United-States,0
4,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,13,1,United-States,0
7,Self-emp-inc,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,13,2,United-States,1
6,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,13,2,United-States,0
7,Self-emp-inc,0,HS-grad,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,13,3,United-States,0
6,Private,0,5th-6th,0,Divorced,Craft-repair,Not-in-family,White,Female,0,13,2,United-States,0
2,Local-gov,0,Bachelors,2,Never-married,Prof-specialty,Not-in-family,White,Male,0,13,3,United-States,0
6,Local-gov,0,HS-grad,0,Widowed,Farming-fishing,Unmarried,White,Male,0,13,1,United-States,0
6,Private,0,5th-6th,0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,13,1,United-States,0
6,State-gov,0,Bachelors,2,Divorced,Prof-specialty,Not-in-family,White,Female,0,13,1,United-States,0
6,Self-emp-inc,0,Some-college,1,Divorced,Exec-managerial,Not-in-family,White,Male,0,13,2,United-States,0
4,Private,0,Bachelors,2,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,0,13,1,?,0
2,Private,0,Bachelors,2,Never-married,Prof-specialty,Own-child,White,Female,0,13,0,United-States,0
6,Private,0,Some-college,1,Never-married,Adm-clerical,Not-in-family,Black,Female,0,13,2,?,0
6,Local-gov,0,HS-grad,0,Separated,Protective-serv,Other-relative,Black,Female,0,13,1,United-States,0
2,State-gov,0,Some-college,1,Separated,Exec-managerial,Own-child,White,Male,0,13,1,United-States,0
6,Self-emp-not-inc,0,Masters,3,Divorced,Sales,Unmarried,White,Female,0,13,3,United-States,0
5,Private,0,HS-grad,0,Divorced,Craft-repair,Not-in-family,White,Male,0,13,1,United-States,0
5,Private,0,HS-grad,0,Never-married,Adm-clerical,Other-relative,Black,Female,0,13,1,Trinadad&Tobago,0
2,Private,0,Prof-school,4,Never-married,Prof-specialty,Not-in-family,White,Male,0,13,1,Canada,0
5,Self-emp-not-inc,0,Prof-school,4,Divorced,Other-service,Not-in-family,White,Female,0,13,0,United-States,0
7,Private,0,Bachelors,2,Widowed,Prof-specialty,Not-in-family,White,Male,0,13,1,United-States,1
7,Local-gov,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,13,1,United-States,0
7,Private,0,5th-6th,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,13,1,United-States,0
6,Local-gov,0,Masters,3,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,13,1,United-States,0
6,Federal-gov,0,HS-grad,0,Never-married,Adm-clerical,Not-in-family,White,Male,0,12,1,United-States,0
0,Self-emp-not-inc,0,Some-college,1,Never-married,Farming-fishing,Own-child,White,Male,0,12,0,United-States,0
4,Private,0,HS-grad,0,Divorced,Craft-repair,Not-in-family,White,Male,0,12,4,United-States,0
4,Self-emp-not-inc,0,Some-college,1,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,12,1,South,0
5,Private,0,Bachelors,2,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,0,12,2,Philippines,0
5,Private,0,Some-college,1,Separated,Machine-op-inspct,Not-in-family,White,Male,0,12,3,United-States,1
6,State-gov,0,Assoc-acdm,2,Divorced,Adm-clerical,Unmarried,White,Male,0,12,1,United-States,1
3,Private,0,Bachelors,2,Never-married,Exec-managerial,Not-in-family,White,Female,0,12,2,United-States,1
6,Federal-gov,0,Bachelors,2,Never-married,Adm-clerical,Not-in-family,White,Male,0,12,1,United-States,0
5,Private,0,HS-grad,0,Never-married,Craft-repair,Own-child,White,Male,0,12,1,United-States,1
6,Private,0,Bachelors,2,Divorced,Exec-managerial,Not-in-family,White,Male,0,12,1,United-States,1
2,Private,0,Bachelors,2,Never-married,Exec-managerial,Not-in-family,White,Male,0,12,2,United-States,1
2,Self-emp-not-inc,0,HS-grad,0,Never-married,Craft-repair,Not-in-family,White,Male,0,12,2,United-States,0
1,Private,0,Bachelors,2,Never-married,Prof-specialty,Own-child,White,Female,0,12,1,United-States,1
4,Private,0,Masters,3,Never-married,Prof-specialty,Not-in-family,White,Male,0,12,2,United-States,0
4,Private,0,12th,0,Divorced,Craft-repair,Not-in-family,White,Male,0,12,1,United-States,0
5,Local-gov,0,Masters,3,Never-married,Prof-specialty,Not-in-family,White,Female,0,12,3,United-States,0
6,Private,0,Some-college,1,Widowed,Adm-clerical,Unmarried,White,Female,0,12,1,United-States,1
4,Private,0,HS-grad,0,Never-married,Exec-managerial,Not-in-family,White,Male,0,12,4,United-States,0
5,Federal-gov,0,Bachelors,2,Divorced,Tech-support,Not-in-family,White,Male,0,12,1,United-States,1
6,State-gov,0,Doctorate,4,Never-married,Exec-managerial,Not-in-family,White,Female,0,12,2,United-States,1
5,Self-emp-inc,0,Some-college,1,Never-married,Sales,Not-in-family,White,Male,0,12,3,United-States,0
6,Private,0,Some-college,1,Widowed,Farming-fishing,Not-in-family,White,Male,0,12,3,United-States,1
6,Private,0,HS-grad,0,Divorced,Farming-fishing,Not-in-family,White,Male,0,12,2,United-States,1
6,Private,0,HS-grad,0,Divorced,Exec-managerial,Not-in-family,White,Female,0,12,1,United-States,1
4,Private,0,Bachelors,2,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,12,2,United-States,1
6,Local-gov,0,HS-grad,0,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,0,12,1,United-States,1
7,Self-emp-not-inc,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,12,1,United-States,1
7,Self-emp-not-inc,0,Masters,3,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,12,0,United-States,1
7,Private,0,Bachelors,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,12,1,United-States,1
7,Self-emp-not-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,12,0,United-States,1
4,Private,0,HS-grad,0,Separated,Machine-op-inspct,Unmarried,White,Female,0,12,1,United-States,0
2,Private,0,10th,0,Widowed,Adm-clerical,Unmarried,White,Female,0,12,0,United-States,0
1,Self-emp-not-inc,0,Bachelors,2,Never-married,Adm-clerical,Own-child,White,Male,0,12,1,United-States,1
6,Local-gov,0,9th,0,Widowed,Handlers-cleaners,Unmarried,White,Male,0,12,1,United-States,1
2,Local-gov,0,Some-college,1,Never-married,Protective-serv,Not-in-family,White,Male,0,12,1,United-States,1
7,Private,0,HS-grad,0,Never-married,Other-service,Not-in-family,Black,Male,0,11,1,United-States,0
7,Private,0,HS-grad,0,Widowed,Adm-clerical,Not-in-family,White,Female,0,11,0,United-States,0
7,Private,0,HS-grad,0,Divorced,Adm-clerical,Unmarried,White,Female,0,11,3,Canada,0
7,Private,0,Bachelors,2,Divorced,Exec-managerial,Not-in-family,White,Female,0,11,0,United-States,0
7,Local-gov,0,Bachelors,2,Widowed,Prof-specialty,Not-in-family,Black,Female,0,11,0,United-States,0
1,Private,0,Some-college,1,Never-married,Adm-clerical,Not-in-family,White,Male,0,11,0,United-States,0
5,Self-emp-not-inc,0,Some-college,1,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,11,0,United-States,0
4,Private,0,Some-college,1,Never-married,Adm-clerical,Own-child,White,Female,0,11,1,United-States,0
0,Private,0,Assoc-acdm,2,Never-married,Other-service,Own-child,White,Female,0,11,0,United-States,0
5,Private,0,HS-grad,0,Divorced,Craft-repair,Not-in-family,White,Male,0,11,1,United-States,0
5,Private,0,Some-college,1,Never-married,Other-service,Own-child,Black,Female,0,11,1,United-States,0
4,Private,0,Some-college,1,Never-married,Machine-op-inspct,Other-relative,White,Female,0,11,1,Holand-Netherlands,0
5,Private,0,7th-8th,0,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,11,1,United-States,0
5,Self-emp-inc,0,Masters,3,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,0,11,3,India,1
7,Private,0,11th,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,11,1,United-States,0
2,Private,0,7th-8th,0,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,0,11,1,Puerto-Rico,0
5,Self-emp-inc,0,Assoc-voc,2,Married-civ-spouse,Sales,Husband,Other,Male,0,11,4,Mexico,0
5,Self-emp-not-inc,0,7th-8th,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,11,1,United-States,0
6,Self-emp-not-inc,0,1st-4th,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,11,0,United-States,0
6,State-gov,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,11,1,United-States,0
4,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Farming-fishing,Wife,White,Female,0,11,0,United-States,0
6,Private,0,HS-grad,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,11,2,United-States,0
3,Private,0,HS-grad,0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,11,1,United-States,0
6,Private,0,10th,0,Married-civ-spouse,Sales,Husband,White,Male,0,11,3,United-States,0
5,Private,0,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,11,1,United-States,0
6,Self-emp-not-inc,0,5th-6th,0,Married-civ-spouse,Sales,Husband,White,Male,0,11,2,Mexico,0
5,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,11,1,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,11,1,United-States,0
7,Self-emp-not-inc,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,10,0,United-States,1
7,Private,0,HS-grad,0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,10,1,United-States,1
7,Self-emp-not-inc,0,Prof-school,4,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,10,2,United-States,1
7,State-gov,0,HS-grad,0,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,10,1,United-States,1
7,Federal-gov,0,Some-college,1,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,10,1,United-States,1
7,Private,0,Some-college,1,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,10,2,United-States,1
7,Self-emp-not-inc,0,Assoc-voc,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,9,1,United-States,0
7,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Sales,Husband,White,Male,0,9,0,United-States,0
5,Private,0,5th-6th,0,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,0,9,4,?,0
0,Self-emp-not-inc,0,11th,0,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,9,3,United-States,0
5,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
6,Federal-gov,0,Assoc-acdm,2,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,0,9,1,Philippines,0
7,Private,0,Masters,3,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,9,3,China,0
4,Private,0,HS-grad,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,9,1,United-States,0
6,Self-emp-not-inc,0,Some-college,1,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,9,3,Canada,0
4,Private,0,11th,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
3,Private,0,HS-grad,0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,9,0,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,9,1,United-States,0
5,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,3,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,2,United-States,0
2,Private,0,Some-college,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,9,1,United-States,0
6,Private,0,HS-grad,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,9,2,United-States,0
6,Local-gov,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
6,Self-emp-not-inc,0,HS-grad,0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,9,0,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,9,1,United-States,0
5,Federal-gov,0,HS-grad,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,9,1,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
4,Local-gov,0,Bachelors,2,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,9,1,United-States,0
4,Private,0,Some-college,1,Married-civ-spouse,Sales,Husband,White,Male,0,9,3,United-States,0
6,Private,0,HS-grad,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,9,1,United-States,0
6,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
5,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,2,United-States,0
5,Private,0,HS-grad,0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,9,1,United-States,0
3,Private,0,Assoc-voc,2,Married-civ-spouse,Tech-support,Husband,White,Male,0,9,1,United-States,0
6,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,United-States,0
4,Private,0,HS-grad,0,Married-civ-spouse,Transport-moving,Husband,White,Male,0,9,3,United-States,0
5,Private,0,HS-grad,0,Married-civ-spouse,Craft-repair,Husband,White,Male,0,9,1,Poland,0
