,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type
110,2,0,0,0,0,0,3,0,0,2
111,2,0,0,0,0,0,3,0,0,2
112,2,0,0,0,0,1,3,0,0,2
113,2,0,1,0,0,1,1,0,0,2
114,2,0,1,0,0,1,2,0,0,2
115,2,0,1,0,0,1,1,0,0,2
116,2,0,1,1,0,1,1,0,0,2
117,0,0,1,2,0,2,1,0,0,2
118,0,0,1,1,0,2,1,0,0,2
119,0,0,1,1,0,2,1,0,0,2
120,2,0,1,0,0,1,2,0,0,2
121,0,0,1,1,0,2,1,0,0,2
122,0,0,1,1,0,1,1,0,0,2
123,0,0,1,1,0,2,1,0,0,2
124,2,0,1,0,0,1,2,0,0,2
125,2,0,1,1,0,1,2,0,0,2
126,0,0,1,0,0,1,2,0,0,2
127,2,0,0,1,0,1,2,0,0,2
128,2,0,0,1,0,1,2,0,0,2
129,2,0,0,1,0,1,3,0,0,2
130,2,0,0,0,0,1,3,0,0,2
131,2,0,0,0,0,1,3,0,0,2
132,2,0,1,0,0,1,1,0,0,2
133,2,0,1,1,0,1,1,0,0,2
134,2,0,1,0,0,1,1,0,0,2
135,1,0,1,0,0,1,2,0,0,2
136,2,0,1,0,0,1,2,0,0,2
137,0,0,1,1,0,1,1,0,0,2
138,0,0,1,1,0,2,1,0,0,2
139,0,0,1,1,0,2,1,0,0,2
140,0,0,1,1,0,2,1,0,0,2
141,2,0,1,0,0,1,2,0,0,2
142,0,0,1,1,0,2,1,0,0,2
143,0,0,1,2,0,2,1,0,0,2
144,0,0,1,0,0,1,2,0,0,2
145,2,0,1,0,0,2,2,0,0,2
146,1,0,1,0,0,1,2,0,0,3
147,0,0,1,0,0,1,2,0,0,3
148,0,0,1,0,0,1,2,0,0,3
149,0,0,1,0,0,1,2,0,0,3
150,0,0,1,2,0,1,2,0,0,3
151,2,1,1,0,0,0,2,0,0,3
152,1,0,1,0,0,1,2,0,0,3
153,0,0,1,0,0,1,2,0,0,3
154,0,0,1,0,0,1,2,0,0,3
155,0,0,1,0,0,1,2,0,0,3
156,0,0,1,0,0,1,2,0,0,3
157,2,0,1,0,0,1,2,0,0,3
158,1,0,1,1,0,1,2,0,0,3
159,1,0,1,1,0,1,2,0,0,3
160,2,0,1,1,0,1,2,0,0,3
161,2,0,1,0,0,1,2,0,0,3
162,2,1,1,0,0,1,2,0,0,3
163,0,0,0,2,0,3,0,1,0,5
164,2,0,0,2,0,1,2,0,0,5
165,2,0,0,1,0,1,3,0,0,5
166,2,0,0,1,0,1,3,0,0,5
167,2,0,0,1,0,1,3,0,0,5
168,0,0,0,2,0,3,2,0,0,5
169,2,0,0,2,0,1,3,0,0,5
170,2,0,0,1,0,1,3,0,0,5
171,0,0,0,2,0,3,0,0,0,5
172,0,0,0,2,0,3,0,0,0,5
173,2,0,0,1,0,1,3,0,0,5
174,2,0,0,2,0,3,2,0,0,5
175,2,0,0,1,0,1,3,0,0,5
176,2,0,0,1,0,0,2,0,0,6
177,2,0,0,0,0,0,2,0,0,6
178,2,1,0,1,0,0,2,0,0,6
179,2,1,0,1,0,0,2,0,0,6
180,0,1,0,1,0,0,1,0,0,6
181,2,1,0,1,0,0,2,0,0,6
182,2,1,0,2,0,0,3,0,0,6
183,2,1,0,0,0,0,3,0,0,6
184,0,1,0,0,0,0,0,0,0,6
185,0,0,1,2,0,3,0,1,0,7
186,2,1,1,2,0,3,0,1,0,7
187,2,0,1,0,0,1,2,0,0,7
188,2,1,0,2,0,3,2,0,0,7
189,2,1,0,0,0,1,2,1,0,7
190,0,0,0,2,0,0,2,1,0,7
191,0,1,0,2,0,0,2,1,0,7
192,0,1,0,2,0,0,2,1,0,7
193,0,1,0,2,0,0,2,1,0,7
194,0,1,0,2,0,0,2,1,0,7
195,0,1,0,2,0,1,2,1,0,7
196,0,0,0,2,0,1,2,1,0,7
197,0,1,0,2,0,0,2,1,0,7
198,0,1,0,2,0,0,2,1,0,7
199,0,1,0,2,0,0,2,1,0,7
200,0,1,0,2,0,0,2,1,0,7
201,0,0,0,0,0,3,2,0,0,7
202,0,1,0,2,0,0,2,1,0,7
203,0,1,0,2,0,0,1,1,0,7
204,0,1,0,2,0,0,2,1,0,7
205,0,1,0,2,0,0,2,1,0,7
206,0,1,0,2,0,0,2,1,0,7
207,2,1,0,2,0,3,0,1,0,7
208,0,1,0,2,0,0,2,1,0,7
209,0,1,0,2,0,1,2,1,0,7
210,0,1,0,2,0,0,2,1,0,7
211,2,1,0,2,0,0,2,1,0,7
212,0,1,0,2,0,0,2,1,0,7
213,0,1,0,2,0,0,2,1,0,7
